Data Import Template,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table:,,Sales Invoice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please do not change the template headings.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First data column must be blank.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If you are uploading new records, leave the ""name"" (ID) column blank.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For updating, you can update only selective columns.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You can only upload upto 5000 records in one go. (may be less in some cases),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DocType:,,Sales Invoice,,,,,,,,,,,,,,,,,,,,,,,,~,Sales Taxes and Charges,taxes,,,,,,,,,,~,Sales Invoice Item,items,,,,,,,,,,,,,,,,,,
Column Labels:,,ID,Order No,Order Date,Series,Company,Date,Edit Posting Date and Time,Currency,Price List,Price List Currency,Price List Exchange Rate,Net Total (Company Currency),Grand Total (Company Currency),Grand Total,Debit To,Transporter ID,Customer,Customer Name,Payment Due Date,Update Stock,Total (Company Currency),Net Total,Total,Taxes and Charges,,Type,Account Head,Description,Cost Center,Rate,Amount,Total,Tax Amount After Discount Amount,Amount (Company Currency),Total (Company Currency),Tax Amount After Discount Amount (Company Currency),,Item Name,Description,Free Quantity,UOM,UOM Conversion Factor,Rate,Amount,Rate (Company Currency),Amount (Company Currency),Income Account,Cost Center,Item,Batch No,Quantity,Stock UOM,Total Qty,Net Amount,Net Amount (Company Currency),Expense Account,Warehouse
Column Name:,,name,order_no,order_date,naming_series,company,posting_date,set_posting_time,currency,selling_price_list,price_list_currency,plc_conversion_rate,base_net_total,base_grand_total,grand_total,debit_to,transporter_id,customer,customer_name,due_date,update_stock,base_total,net_total,total,taxes_and_charges,~,charge_type,account_head,description,cost_center,rate,tax_amount,total,tax_amount_after_discount_amount,base_tax_amount,base_total,base_tax_amount_after_discount_amount,~,item_name,description,free_quantity,uom,conversion_factor,rate,amount,base_rate,base_amount,income_account,cost_center,item_code,batch_no,qty,stock_uom,stock_qty,net_amount,base_net_amount,expense_account,warehouse
Mandatory:,,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No
Type:,,Data (text),Data,Date,Select,Link,Date,Check,Link,Link,Link,Float,Currency,Currency,Currency,Link,Link,Link,Data,Date,Check,Currency,Currency,Currency,Link,,Select,Link,Text Editor,Link,Float,Currency,Currency,Currency,Currency,Currency,Currency,,Data,Text Editor,Float,Link,Float,Currency,Currency,Currency,Currency,Link,Link,Link,Link,Float,Link,Float,Currency,Currency,Link,Link
Info:,,,,,"One of: SI-, SR-, SS-, SR-RD-, Pre-SI-.##########, Pre-R-",Valid Company,,0 or 1,Valid Currency,Valid Price List,Valid Currency,,,,,Valid Account,Valid Transporter or Ship Master,Valid Customer,,,0 or 1,,,,Valid Sales Taxes and Charges Template,,"One of: Actual, On Net Total, On Previous Row Amount, On Previous Row Total",Valid Account,,Valid Cost Center,,,,,,,,,,,,Valid UOM,,,,,,Valid Account,Valid Cost Center,Valid Item,Valid Batch,,Valid UOM,,,,Valid Account,Valid Warehouse
Start entering data below this line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"""Pre-SI-0000000201""",2000000251,27/06/2016,Pre-SI-,Lysten Global,27/06/2016 0:00,1,INR,Standard Selling,INR,1,46228.46,48912,48912,Debtors - LG,Ship/00004,M/S. S.K. DISTRIBUTORS,M/S. S.K. DISTRIBUTORS,27/06/2016 0:00,1,46228.46,46228.46,46228.46,Sales Invoice Prev ERP Tax,,Actual,VAT/CST PREV ERP - LG,TAX,Main - LG,0,2683.86,46228.46,2683.86,2683.86,46228.46,2683.86,,ACTIRAB TAB,ACTIRAB TAB,3,Strip,1,37.71,1131.3,37.71,1131.3,Sales - LG,Main - LG,ACTIRAB TAB,AT6059,30,Strip,30,1131.3,1131.3,Cost of Goods Sold - LG,Stores - LG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GLUCOLYST -G1 TAB,GLUCOLYST -G1 TAB,0,Strip,1,34.29,1028.7,34.29,1028.7,Sales - LG,Main - LG,GLUCOLYST -G1 TAB,AT6060,30,Strip,30,1028.7,1028.7,Cost of Goods Sold - LG,Stores - LG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LYCORT 1 ml INJ,LYCORT 1 ml INJ,20,Vial,1,61.71,6171,61.71,6171,Sales - LG,Main - LG,LYCORT 1 ml INJ,L-843,100,Vial,100,6171,6171,Cost of Goods Sold - LG,Stores - LG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STAR T TAB,STAR T TAB,0,Bottle,1,102.9,1029,102.9,1029,Sales - LG,Main - LG,STAR T TAB,AT6448,10,Bottle,10,1029,1029,Cost of Goods Sold - LG,Stores - LG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMPOWER - OD TAB,EMPOWER - OD TAB,0,Strip,1,67.28,2018.4,67.28,2018.4,Sales - LG,Main - LG,EMPOWER - OD TAB,FT-001,30,Strip,30,2018.4,2018.4,Cost of Goods Sold - LG,Stores - LG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LYCOLIC 10ml DROP,LYCOLIC 10ml DROP,0,Bottle,1,27,810,27,810,Sales - LG,Main - LG,LYCOLIC 10ml DROP,A-6456,30,Bottle,30,810,810,Cost of Goods Sold - LG,Stores - LG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STAND -SP TAB,STAND -SP TAB,15,Strip,1,46.63,6994.5,46.63,6994.5,Sales - LG,Main - LG,STAND -SP TAB,AT6368,150,Strip,150,6994.5,6994.5,Cost of Goods Sold - LG,Stores - LG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REGAIN - XT TAB,REGAIN - XT TAB,0,Strip,1,43.89,2195,43.89,2195,Sales - LG,Main - LG,REGAIN - XT TAB,AT6037,50,Strip,50,2195,2195,Cost of Goods Sold - LG,Stores - LG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIRAB - D CAP,ACTIRAB - D CAP,0,Strip,1,58.97,5897,58.97,5897,Sales - LG,Main - LG,ACTIRAB - D CAP,AC6080,100,Strip,100,5897,5897,Cost of Goods Sold - LG,Stores - LG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LYCOREST TAB,LYCOREST TAB,150,Strip,1,24,7200,24,7200,Sales - LG,Main - LG,LYCOREST TAB,AT6478,300,Strip,300,7200,7200,Cost of Goods Sold - LG,Stores - LG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STAND - MF 60ml SUSP,STAND - MF 60ml SUSP,0,Bottle,1,18.17,1817,18.17,1817,Sales - LG,Main - LG,STAND - MF 60ml SUSP,AL6147,100,Bottle,100,1817,1817,Cost of Goods Sold - LG,Stores - LG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIRAB - L CAP,ACTIRAB - L CAP,0,Strip,1,102.9,3087,102.9,3087,Sales - LG,Main - LG,ACTIRAB - L CAP,AC6031,30,Strip,30,3087,3087,Cost of Goods Sold - LG,Stores - LG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LYCOREST 60ml SUSP,LYCOREST 60ml SUSP,10,Bottle,1,35.66,3566,35.66,3566,Sales - LG,Main - LG,LYCOREST 60ml SUSP,AL6160,100,Bottle,100,3566,3566,Cost of Goods Sold - LG,Stores - LG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEN-ON 30 ml SYRUP,TEN-ON 30 ml SYRUP,0,Bottle,1,26.06,3283.56,26.06,3283.56,Sales - LG,Main - LG,TEN-ON 30 ml SYRUP,AL6060,126,Bottle,126,3283.56,3283.56,Cost of Goods Sold - LG,Stores - LG
,,"""Pre-SI-0000000202""",2000000253,27/06/2016,Pre-SI-,Lysten Global,27/06/2016 0:00,1,INR,Standard Selling,INR,1,148110,156256,156256,Debtors - LG,Ship/00004,VAISHNAVI DIST.,VAISHNAVI DIST.,27/06/2016 0:00,1,148110,148110,148110,Sales Invoice Prev ERP Tax,,Actual,VAT/CST PREV ERP - LG,TAX,Main - LG,0,8146.05,148110,8146.05,8146.05,148110,8146.05,,LYCOREST TAB,LYCOREST TAB,1080,Strip,1,24,86400,24,86400,Sales - LG,Main - LG,LYCOREST TAB,AT6478,3600,Strip,3600,86400,86400,Cost of Goods Sold - LG,Stores - LG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LYCORT 1 ml INJ,LYCORT 1 ml INJ,200,Vial,1,61.71,61710,61.71,61710,Sales - LG,Main - LG,LYCORT 1 ml INJ,L-843,1000,Vial,1000,61710,61710,Cost of Goods Sold - LG,Stores - LG
,,"""Pre-SI-0000000203""",2000000254,27/06/2016,Pre-SI-,Lysten Global,27/06/2016 0:00,1,INR,Standard Selling,INR,1,127545,134560,134560,Debtors - LG,Ship/00004,AMAR PHARMA,AMAR PHARMA,27/06/2016 0:00,1,127545,127545,127545,Sales Invoice Prev ERP Tax,,Actual,VAT/CST PREV ERP - LG,TAX,Main - LG,0,7014.98,127545,7014.98,7014.98,127545,7014.98,,STAND -SP TAB,STAND -SP TAB,300,Strip,1,46.63,69945,46.63,69945,Sales - LG,Main - LG,STAND -SP TAB,AT6368,1500,Strip,1500,69945,69945,Cost of Goods Sold - LG,Stores - LG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LYCOREST TAB,LYCOREST TAB,720,Strip,1,24,57600,24,57600,Sales - LG,Main - LG,LYCOREST TAB,AT6478,2400,Strip,2400,57600,57600,Cost of Goods Sold - LG,Stores - LG
,,"""Pre-SI-0000000204""",2000000255,27/06/2016,Pre-SI-,Lysten Global,27/06/2016 0:00,1,INR,Standard Selling,INR,1,72000,72000,72000,Debtors - LG,Ship/00004,DROGARIA ANANTA,DROGARIA ANANTA,27/06/2016 0:00,1,72000,72000,72000,Sales Invoice Prev ERP Tax,,Actual,VAT/CST PREV ERP - LG,TAX,Main - LG,0,1440,72000,1440,1440,72000,1440,,LYCOREST TAB,LYCOREST TAB,1500,Strip,1,24,72000,24,72000,Sales - LG,Main - LG,LYCOREST TAB,AT6478,3000,Strip,3000,72000,72000,Cost of Goods Sold - LG,Stores - LG
,,"""Pre-SI-0000000205""",2000000256,27/06/2016,Pre-SI-,Lysten Global,27/06/2016 0:00,1,INR,Standard Selling,INR,1,30855,32552,32552,Debtors - LG,Ship/00004,M/S Danole Agencies,M/S Danole Agencies,27/06/2016 0:00,1,30855,30855,30855,Sales Invoice Prev ERP Tax,,Actual,VAT/CST PREV ERP - LG,TAX,Main - LG,0,1697.03,30855,1697.03,1697.03,30855,1697.03,,LYCORT 1 ml INJ,LYCORT 1 ml INJ,100,Vial,1,61.71,30855,61.71,30855,Sales - LG,Main - LG,LYCORT 1 ml INJ,L-843,500,Vial,500,30855,30855,Cost of Goods Sold - LG,Stores - LG
,,"""Pre-SI-0000000206""",2000000257,27/06/2016,Pre-SI-,Lysten Global,27/06/2016 0:00,1,INR,Standard Selling,INR,1,8223.9,8818,8818,Debtors - LG,Ship/00004,MAYA SALES,MAYA SALES,27/06/2016 0:00,1,8223.9,8223.9,8223.9,Sales Invoice Prev ERP Tax,,Actual,VAT/CST PREV ERP - LG,TAX,Main - LG,0,593.6,8223.9,593.6,593.6,8223.9,593.6,,EMPOWER - OD TAB,EMPOWER - OD TAB,0,Strip,1,67.28,2018.4,67.28,2018.4,Sales - LG,Main - LG,EMPOWER - OD TAB,FT-001,30,Strip,30,2018.4,2018.4,Cost of Goods Sold - LG,Stores - LG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEN-ON 30 ml SYRUP,TEN-ON 30 ml SYRUP,0,Bottle,1,26.06,1303,26.06,1303,Sales - LG,Main - LG,TEN-ON 30 ml SYRUP,AL6060,50,Bottle,50,1303,1303,Cost of Goods Sold - LG,Stores - LG
